ds,yhat,yhat_lower,yhat_upper
2018-10-10,5860.009302920525,-6449.3637305218135,18124.264210365105
2018-10-11,5798.12910019654,-6181.0693641125235,18213.4709770196
2018-10-12,5889.044589352538,-6769.614363972087,18041.41792528736
2018-10-13,5952.138244081624,-5670.712281687862,17854.129892598346
2018-10-14,6049.541930640182,-6343.734157725534,18052.44249700293
2018-10-15,6251.798325619113,-6586.331766059912,18067.158530986388
2018-10-16,6288.747240994786,-5111.211984158547,18643.603805901574
2018-10-17,6548.596328502733,-5633.277855478243,18652.572757913593
2018-10-18,6536.230780244238,-6407.615286970595,19254.36941799358
2018-10-19,6671.267508666486,-5453.492099331239,19245.481595885398
2018-10-20,6773.735912895054,-5194.8908094296385,18996.159545577888
2018-10-21,6902.189444840726,-5797.337438962985,20143.213354038933
2018-10-22,7125.956830448765,-5806.232939575074,18359.947514771025
2018-10-23,7173.886556516258,-5200.554126440711,19356.053474720582
2018-10-24,7433.45101362923,-5453.048945799464,20472.62624253023
2018-10-25,7409.0822109712135,-5521.663680297754,19706.195376655403
2018-10-26,7520.243700475639,-4766.336302038447,19717.566183874198
2018-10-27,7584.938585014768,-4908.444945883916,19592.311299253495
2018-10-28,7664.3656662312,-4148.5026491152785,19334.94058671653
2018-10-29,7828.616190813966,-4610.469968444408,20177.720619444703
2018-10-30,7807.581381156346,-5223.865771981188,20081.19077837159
2018-10-31,7990.029475166171,-3968.01973431096,20980.31961942959
2018-11-01,7881.906594653996,-4446.743354110702,20042.93963913233
2018-11-02,7904.367089261806,-4502.387140048367,20676.71801766732
2018-11-03,7877.234451027029,-4370.705578105959,21270.07422550309
2018-11-04,7863.606250449976,-4208.39885568209,21447.81851332486
2018-11-05,7935.497081537026,-4237.2589297451095,20457.091162044515
2018-11-06,7824.691317987326,-4759.32641249594,20394.17423101386
2018-11-07,7921.766060469817,-3228.9267063611405,19391.798517502706
2018-11-08,7734.340238365077,-5198.803502311575,19777.95430096555
2018-11-09,7685.057095636452,-4413.122875637313,19167.747583024204
2018-11-10,7595.0026288706185,-4519.394068307713,20026.725688891893
2018-11-11,7528.274746183367,-4539.884507222308,20229.16233850168
2018-11-12,7557.598256133714,-4444.00363861241,18938.347228207713
2018-11-13,7415.158379121857,-4268.6560940491245,19868.39234525291
2018-11-14,7491.613791682763,-4359.685351255693,18853.650819461815
2018-11-15,7294.345516883949,-5448.445853474625,20086.588783727828
2018-11-16,7245.448947347624,-4698.045746563727,19381.162665392927
2018-11-17,7165.171329164401,-5402.335741407968,19110.568378341788
2018-11-18,7116.508944364035,-6064.564340688156,19271.038356364206
2018-11-19,7170.858292930918,-5824.089805712269,19976.75033167481
2018-11-20,7058.892904252403,-5877.865854810145,18316.167033408867
2018-11-21,7169.62550177149,-4546.215689368663,19165.25835493884
2018-11-22,7008.710360864239,-5647.938692505778,19359.723512434342
2018-11-23,6996.491529938176,-4911.907896656169,18817.332655230635
2018-11-24,6951.497531114852,-5770.198765078399,18871.816071727582
2018-11-25,6935.0950219103315,-4784.017858047464,19811.821539904446
2018-11-26,7017.193971170684,-5639.800566097046,18268.707416589226
2018-11-27,6927.17429271701,-4915.7607886614005,18778.835099371365
2018-11-28,7052.992086839975,-4831.248557149441,18690.624360570167
2018-11-29,6899.518917189392,-4753.105541738364,19606.307620330062
2018-11-30,6886.61858562293,-5802.467887571363,19546.290042599805
2018-12-01,6832.661057090091,-5849.615696878797,18952.995406212503
2018-12-02,6799.185325862579,-5575.9855206291695,19325.992836344732
2018-12-03,6856.603383526898,-5435.532554146745,19166.31052713202
2018-12-04,6735.115150983292,-5735.301725480548,19159.75398070037
2018-12-05,6823.792760163574,-5764.4328668059225,18119.121255259866
2018-12-06,6628.88816108009,-4918.05678805949,18206.63199458207
2018-12-07,6571.869363738961,-5307.413669106406,19045.574361356314
2018-12-08,6472.886090188248,-5354.283724322568,18325.157354148923
2018-12-09,6395.377996427843,-6399.047660009034,18511.607130700108
2018-12-10,6411.719199631258,-5423.726641642276,19253.387521649594
2018-12-11,6254.070709601796,-6000.829614890064,18488.275320230932
2018-12-12,6313.400998279797,-5565.819281344494,19635.210360830853
2018-12-13,6097.730588645169,-6505.035701866446,19188.944158764625
2018-12-14,6030.107879868938,-7070.691165705926,17998.7712552315
2018-12-15,5932.018836433312,-5585.993667502527,17935.989199634198
2018-12-16,5867.945443242036,-6353.566556865174,17289.670549858496
2018-12-17,5910.968241778293,-6299.040427817526,17699.732613794666
2018-12-18,5793.585915084389,-6134.267485666398,18087.17254864449
2018-12-19,5906.713271200941,-6472.064513488382,17920.43632767278
2018-12-20,5757.91433398268,-6164.8390076987935,18561.76802535636
2018-12-21,5769.378270549328,-5888.596267048802,17008.048117011458
2018-12-22,5761.340962331489,-6521.79870430942,17789.690699412182
2018-12-23,5796.666959504676,-6572.581679281787,18497.590099306053
2018-12-24,5946.486631746742,-6754.4117888956935,17786.235335011792
2018-12-25,5941.060652641241,-5904.472352542365,17082.040405427302
2018-12-26,6168.832029720787,-6360.405541137332,18000.44460292605
2018-12-27,6134.720974599568,-6662.174588685996,16753.737376649027
2018-12-28,6258.16868966409,-5666.593331572209,18564.68396099896
2018-12-29,6356.631032998505,-5657.185624134774,17595.80992000508
2018-12-30,6490.234815166312,-6195.397900413779,19350.713146689664
2018-12-31,6727.48946991591,-6040.023582990699,18737.77003282282
2019-01-01,6796.224139404942,-4920.481233960351,18963.07003209819
2019-01-02,7082.708323485845,-4796.249390138646,19622.607895588495
2019-01-03,7090.009418751066,-4147.571374273326,19641.52582104482
2019-01-04,7236.091405858508,-5287.870022464486,19139.494521873243
2019-01-05,7337.354032792729,-5307.153856531634,20155.694772149684
2019-01-06,7453.323885120656,-3951.8127219420676,18876.494465176398
2019-01-07,7652.389014756201,-4552.959461424261,19115.569287553226
2019-01-08,7662.746421701585,-4322.914990609467,19647.040055192338
2019-01-09,7871.520139821165,-4386.679513723784,18918.181989345252
2019-01-10,7783.103214845725,-4147.076609002607,20510.696397351705
2019-01-11,7817.228159737699,-4534.919494057723,19390.577863735845
2019-01-12,7792.465918375427,-4681.7761468259605,19588.906073118367
2019-01-13,7770.865751038231,-3736.0038816760966,19282.805750768646
2019-01-14,7823.629047306611,-4229.368781709673,20126.28914835613
